return_id,order_id,order_item_id,asin,sku,product_title,return_request_date,return_reason,return_status,refund_amount,currency
RET-000020,114-4115369-4032184,1,B0F635F86R,SKU-0097,PawPals Dog Chew Toys — Durable & Easy to Clean,2026-04-27,Wrong item sent,Refunded,64.08,USD
RET-000021,114-1667591-8590566,1,B0CWALEK2Y,SKU-0036,ZenLife Air Fryer — Dishwasher Safe & Non-Stick Coating,2025-12-09,Wrong item sent,Closed,19.47,USD
RET-000022,114-3276586-7369059,1,B08H6XVAML,SKU-0006,EverPeak Gaming Mouse — RGB Backlit & Compact Design,2026-06-28,No longer needed,Refunded,55.15,USD
RET-000023,114-2706522-4918671,1,B0J9HPEX6X,SKU-0112,DriveGuard Tire Pressure Gauge — Long Cord & Heavy Duty,2026-02-05,Defective,Closed,127.3,USD
RET-000024,114-1727027-3696228,3,B0NQJ9A5QP,SKU-0081,WriteWell Paper Shredder — Ergonomic & Space Saving,2026-07-15,Defective,Refunded,27.24,USD
RET-000025,114-1194871-3566062,1,B0FA6PK7S1,SKU-0043,PureGlo Body Scrub — Ionic Technology & Gentle Formula,2025-04-30,Missing parts or accessories,Refunded,40.0,USD
RET-000026,114-7257735-8426175,3,B0U0VF1HMG,SKU-0040,ZenLife Nail Clipper Set — Gentle Formula & Cruelty-Free,2025-06-13,No longer needed,Closed,0.0,USD
RET-000027,114-1869207-1089689,5,B0QKGVBY0X,SKU-0108,LittleNest Baby Bottle Set — BPA-Free & Hypoallergenic,2025-11-19,Defective,Processing,32.0,USD
RET-000028,114-8157573-4128472,1,B088K2QTZJ,SKU-0007,AuroraTech Car Mount — Bluetooth 5.3 & RGB Backlit,2025-09-12,Damaged during shipping,Processing,52.27,USD
RET-000029,114-9060755-6614760,3,B0E48MCY15,SKU-0079,WriteWell Label Maker — Durable & Multipurpose,2026-01-31,Defective,Refunded,49.25,USD
RET-000030,114-2343722-3679963,1,B0QKGVBY0X,SKU-0108,LittleNest Baby Bottle Set — BPA-Free & Hypoallergenic,2026-03-26,Damaged during shipping,Refunded,24.13,USD
RET-000031,114-1640552-9927838,1,B0M6YEW145,SKU-0083,WriteWell Standing Desk Converter — Durable & Multipurpose,2025-11-29,Not as described,Processing,4.87,USD
RET-000032,114-5970532-1534227,1,B08RJE02WW,SKU-0016,AuroraTech Headphones — Bluetooth 5.3 & Water Resistant,2025-04-28,Wrong item sent,Refunded,87.93,USD
RET-000033,114-9435536-2301306,3,B0NL5Q5CZM,SKU-0003,EverPeak USB-C Hub — Water Resistant & HD 1080p,2025-11-16,Better price available,Processing,130.96,USD
RET-000034,114-5065883-8480522,1,B0ANDXF98K,SKU-0004,AuroraTech WiFi Range Extender — Bluetooth 5.3 & Fast Charging,2025-12-24,Inaccurate website description,Refunded,97.42,USD
RET-000035,114-3884191-5832175,1,B04Z7XKKST,SKU-0105,LittleNest Swaddle Blankets — BPA-Free & Safety Certified,2026-06-02,Arrived too late,Refunded,36.08,USD
RET-000036,114-1740603-3053231,2,B0ZWX7WPK9,SKU-0114,DriveGuard Seat Covers — Universal Fit & Heavy Duty,2025-12-28,Defective,Refunded,19.42,USD
RET-000037,114-1403445-1843850,1,B0P5FBKME8,SKU-0047,PureGlo Bath Bomb Set — Dermatologist Tested & Gentle Formula,2025-09-24,Better price available,Refunded,15.02,USD
RET-000038,114-5029094-7174257,1,B0NL5Q5CZM,SKU-0003,EverPeak USB-C Hub — Water Resistant & HD 1080p,2026-04-24,Missing parts or accessories,Refunded,73.81,USD
RET-000039,114-8970430-8318098,1,B0279XVVC5,SKU-0014,BrightBeam Desk Lamp — RGB Backlit & Noise Cancelling,2026-07-15,Wrong item sent,Refunded,51.35,USD
RET-000040,114-3975387-8917129,1,B09D2WWZK5,SKU-0118,EverPeak Cordless Drill — Cordless & High Torque,2026-01-08,Wrong item sent,Refunded,18.98,USD
RET-000041,114-9295063-9257653,3,B0R7U9K93R,SKU-0094,PawPals Pet Carrier — Non-Toxic & Durable,2026-02-10,Damaged during shipping,Processing,46.16,USD
RET-000042,114-2334618-3817927,2,B0279XVVC5,SKU-0014,BrightBeam Desk Lamp — RGB Backlit & Noise Cancelling,2025-11-22,Defective,Processing,44.43,USD
RET-000043,114-5698885-9344199,1,B04Z7XKKST,SKU-0105,LittleNest Swaddle Blankets — BPA-Free & Safety Certified,2025-12-12,Not as described,Refunded,33.2,USD
RET-000044,114-9667024-7173977,2,B0ANDXF98K,SKU-0004,AuroraTech WiFi Range Extender — Bluetooth 5.3 & Fast Charging,2026-06-17,No longer needed,Refunded,67.0,USD
RET-000045,114-9878202-7240771,1,B0HE56LV1G,SKU-0071,KiddoCraft Play Kitchen Set — Interactive & Ages 3+,2026-01-03,Arrived too late,Processing,17.24,USD
RET-000046,114-3817316-5822101,2,B06AZNEH47,SKU-0008,BrightBeam Mechanical Keyboard — 30H Battery Life & Water Resistant,2025-09-01,Defective,Refunded,75.67,USD
RET-000047,114-9650043-6422015,2,B04Z7XKKST,SKU-0105,LittleNest Swaddle Blankets — BPA-Free & Safety Certified,2026-01-09,Not as described,Refunded,45.42,USD
RET-000048,114-2258222-2375690,4,B0ZWX7WPK9,SKU-0114,DriveGuard Seat Covers — Universal Fit & Heavy Duty,2025-01-13,Better price available,Processing,35.08,USD
RET-000049,114-8733733-5927218,3,B08H6XVAML,SKU-0006,EverPeak Gaming Mouse — RGB Backlit & Compact Design,2025-01-20,No longer needed,Processing,86.49,USD
RET-000050,114-9497062-2983613,1,B09D2WWZK5,SKU-0118,EverPeak Cordless Drill — Cordless & High Torque,2026-01-04,Not as described,Refunded,14.87,USD
RET-000051,114-4985461-2247754,2,B0MVKP1792,SKU-0002,BrightBeam HDMI Cable — Bluetooth 5.3 & HD 1080p,2025-03-03,Not as described,Refunded,133.74,USD
RET-000052,114-1634124-2686460,2,B08H6XVAML,SKU-0006,EverPeak Gaming Mouse — RGB Backlit & Compact Design,2025-03-07,Better price available,Closed,0.0,USD
RET-000053,114-1424015-2198780,2,B0ANDXF98K,SKU-0004,AuroraTech WiFi Range Extender — Bluetooth 5.3 & Fast Charging,2025-02-27,Not as described,Refunded,86.28,USD
RET-000054,114-3402037-9881980,4,B0DLXACSTN,SKU-0068,CloudNest Plush Toy — Non-Toxic & Ages 3+,2026-07-15,Defective,Processing,63.96,USD
RET-000055,114-3970450-7972650,2,B0WR597BPU,SKU-0015,EverPeak Streaming Stick — Bluetooth 5.3 & HD 1080p,2026-01-03,Defective,Refunded,120.59,USD
RET-000056,114-6965855-6340079,1,B08H6XVAML,SKU-0006,EverPeak Gaming Mouse — RGB Backlit & Compact Design,2025-07-27,Arrived too late,Refunded,65.08,USD
RET-000057,114-8186119-1866050,3,B01NLXW82L,SKU-0104,LittleNest Bassinet — Safety Certified & BPA-Free,2025-08-30,Defective,Processing,48.18,USD
RET-000058,114-7029298-2134458,1,B0M6YEW145,SKU-0083,WriteWell Standing Desk Converter — Durable & Multipurpose,2025-06-14,Not as described,Refunded,6.14,USD
RET-000059,114-1356586-6662173,1,B0R7U9K93R,SKU-0094,PawPals Pet Carrier — Non-Toxic & Durable,2025-01-13,No longer needed,Refunded,11.74,USD
RET-000060,114-1641726-6341250,3,B0NL5Q5CZM,SKU-0003,EverPeak USB-C Hub — Water Resistant & HD 1080p,2025-07-19,Defective,Refunded,443.64,USD
RET-000061,114-4814129-5354867,1,B0F635F86R,SKU-0097,PawPals Dog Chew Toys — Durable & Easy to Clean,2026-04-02,Damaged during shipping,Refunded,21.36,USD
RET-000062,114-1071499-7849359,2,B0U0VF1HMG,SKU-0040,ZenLife Nail Clipper Set — Gentle Formula & Cruelty-Free,2025-12-11,Damaged during shipping,Processing,28.36,USD
RET-000063,114-9521443-9812858,2,B02X1DSSZM,SKU-0102,LittleNest Diaper Bag — Hypoallergenic & Easy to Clean,2025-12-22,Not as described,Refunded,7.14,USD
RET-000064,114-7371211-6915111,1,B02T104M25,SKU-0111,DriveGuard Jump Starter — Long Cord & Universal Fit,2025-06-28,Arrived too late,Refunded,53.84,USD
RET-000065,114-2223458-3788216,1,B0E48MCY15,SKU-0079,WriteWell Label Maker — Durable & Multipurpose,2025-06-16,No longer needed,Refunded,48.02,USD
RET-000066,114-1630875-3841611,1,B0ERBP9846,SKU-0033,ZenLife Throw Blanket — BPA-Free & Non-Stick Coating,2026-03-11,Wrong item sent,Refunded,42.34,USD
RET-000067,114-3181928-6543836,1,B0EGZYNSAE,SKU-0106,LittleNest Baby Bath Tub — Hypoallergenic & Safety Certified,2026-07-15,Missing parts or accessories,Closed,101.72,USD
RET-000068,114-2904455-6633895,1,B0M9299AJ4,SKU-0024,ZenLife Electric Kettle — Non-Stick Coating & Space Saving,2026-06-16,Defective,Refunded,79.07,USD
RET-000069,114-8104723-3330234,1,B0J9HPEX6X,SKU-0112,DriveGuard Tire Pressure Gauge — Long Cord & Heavy Duty,2026-07-01,No longer needed,Refunded,21.81,USD
RET-000070,114-6937465-1898548,1,B01NLXW82L,SKU-0104,LittleNest Bassinet — Safety Certified & BPA-Free,2025-03-14,Damaged during shipping,Refunded,48.18,USD
RET-000071,114-1023891-6025522,2,B0P5FBKME8,SKU-0047,PureGlo Bath Bomb Set — Dermatologist Tested & Gentle Formula,2025-12-10,Not as described,Processing,15.29,USD
RET-000072,114-3811691-3318931,2,B0FPMT2SF9,SKU-0076,CloudNest Science Kit — Educational & Non-Toxic,2025-07-26,Damaged during shipping,Refunded,38.19,USD
RET-000073,114-2185411-5373061,5,B01CQYLRS7,SKU-0070,CloudNest Art Supplies Kit — STEM Learning & Interactive,2026-01-09,Defective,Processing,13.62,USD
RET-000074,114-9768429-9793064,2,B055PLDLF8,SKU-0005,BrightBeam Webcam — Compact Design & 30H Battery Life,2025-12-11,Defective,Refunded,120.63,USD
RET-000075,114-9991823-3666514,4,B0TXQ65ZFV,SKU-0087,WriteWell Desk Organizer — Ergonomic & Multipurpose,2025-12-13,Wrong item sent,Processing,21.66,USD
RET-000076,114-1056349-9659693,1,B0WKPVSC0B,SKU-0025,Nordic Home Tea Infuser — Non-Stick Coating & Dishwasher Safe,2025-04-14,No longer needed,Refunded,33.96,USD
RET-000077,114-4320375-5317522,1,B0NL5Q5CZM,SKU-0003,EverPeak USB-C Hub — Water Resistant & HD 1080p,2026-05-23,Not as described,Refunded,60.4,USD
RET-000078,114-6550320-7112026,3,B0QKGVBY0X,SKU-0108,LittleNest Baby Bottle Set — BPA-Free & Hypoallergenic,2025-04-19,Defective,Refunded,32.0,USD
RET-000079,114-5565868-7827850,1,B0PGGKXQ9K,SKU-0093,PawPals Pet Water Fountain — Easy to Clean & Vet Recommended,2026-01-07,No longer needed,Refunded,23.93,USD
RET-000080,114-8205561-5257397,1,B0LPG6DAQM,SKU-0120,EverPeak Tool Bag — Rust Resistant & Ergonomic Grip,2025-10-14,Better price available,Refunded,21.75,USD
RET-000081,114-1784190-5924400,1,B0HE56LV1G,SKU-0071,KiddoCraft Play Kitchen Set — Interactive & Ages 3+,2026-07-13,Defective,Refunded,22.81,USD
RET-000082,114-8019404-9309706,1,B0NQJ9A5QP,SKU-0081,WriteWell Paper Shredder — Ergonomic & Space Saving,2025-11-28,No longer needed,Processing,27.25,USD
RET-000083,114-9104003-1366539,1,B0MVKP1792,SKU-0002,BrightBeam HDMI Cable — Bluetooth 5.3 & HD 1080p,2025-12-16,Defective,Refunded,63.85,USD
RET-000084,114-4593330-8410501,1,B0QKGVBY0X,SKU-0108,LittleNest Baby Bottle Set — BPA-Free & Hypoallergenic,2025-10-10,Damaged during shipping,Refunded,32.0,USD
RET-000085,114-8203855-8301883,2,B00JXDXVG6,SKU-0095,PawPals Dog Treat Pouch — Easy to Clean & Non-Toxic,2025-01-30,Damaged during shipping,Processing,18.93,USD
RET-000086,114-8926872-9877472,1,B0GJL7P973,SKU-0045,PureGlo Hair Straightener — Cruelty-Free & Ionic Technology,2025-12-21,No longer needed,Refunded,33.37,USD
RET-000087,114-2185411-5373061,4,B09D2WWZK5,SKU-0118,EverPeak Cordless Drill — Cordless & High Torque,2025-12-08,Wrong item sent,Refunded,18.98,USD
RET-000088,114-5875471-9606378,3,B0GJL7P973,SKU-0045,PureGlo Hair Straightener — Cruelty-Free & Ionic Technology,2025-09-08,No longer needed,Refunded,26.34,USD
RET-000089,114-7368799-4660541,2,B0QKGVBY0X,SKU-0108,LittleNest Baby Bottle Set — BPA-Free & Hypoallergenic,2025-10-09,Not as described,Refunded,28.34,USD
RET-000090,114-1074924-8331938,4,B02X1DSSZM,SKU-0102,LittleNest Diaper Bag — Hypoallergenic & Easy to Clean,2026-02-06,Not as described,Closed,0.0,USD
RET-000091,114-7519642-7551047,1,B08H6XVAML,SKU-0006,EverPeak Gaming Mouse — RGB Backlit & Compact Design,2025-08-23,Defective,Refunded,88.7,USD
RET-000092,114-4457407-2682205,1,B03WTWXEDC,SKU-0072,CloudNest Magnetic Tiles — STEM Learning & Educational,2025-07-30,Arrived too late,Refunded,11.83,USD
RET-000093,114-9752470-7307579,1,B0TXQ65ZFV,SKU-0087,WriteWell Desk Organizer — Ergonomic & Multipurpose,2025-06-16,Missing parts or accessories,Refunded,21.66,USD
RET-000094,114-8666056-9083617,4,B0GJL7P973,SKU-0045,PureGlo Hair Straightener — Cruelty-Free & Ionic Technology,2025-03-09,Inaccurate website description,Refunded,78.15,USD
RET-000095,114-3418432-3758975,1,B0FTQRA6A1,SKU-0109,DriveGuard Dash Cam — Heavy Duty & Easy Install,2025-07-15,No longer needed,Refunded,22.94,USD
RET-000096,114-8740350-6232620,1,B01NLXW82L,SKU-0104,LittleNest Bassinet — Safety Certified & BPA-Free,2025-08-01,Damaged during shipping,Refunded,24.09,USD
RET-000097,114-6044884-3511364,1,B0NQJ9A5QP,SKU-0081,WriteWell Paper Shredder — Ergonomic & Space Saving,2025-08-17,Wrong item sent,Processing,13.84,USD
RET-000098,114-9004511-5420628,2,B05P1Y30A5,SKU-0091,PawPals Slow Feeder Bowl — Easy to Clean & Non-Toxic,2025-07-15,Damaged during shipping,Processing,10.4,USD
RET-000099,114-2442367-7339320,1,B0NQJ9A5QP,SKU-0081,WriteWell Paper Shredder — Ergonomic & Space Saving,2025-11-17,No longer needed,Refunded,11.11,USD
RET-000100,114-8104723-9467237,2,B01NLXW82L,SKU-0104,LittleNest Bassinet — Safety Certified & BPA-Free,2025-07-16,Not as described,Closed,0.0,USD
RET-000101,114-7649529-8773281,1,B0M9DY5YFP,SKU-0063,TrailBlaze Bike Helmet — Lightweight & Portable,2025-11-27,Not as described,Closed,0.0,USD
RET-000102,114-2060677-4158199,1,B02LTJA2NA,SKU-0078,CloudNest Dollhouse — Ages 3+ & Interactive,2026-01-08,Damaged during shipping,Processing,41.1,USD
RET-000103,114-9717867-9828712,1,B0AZBDRH38,SKU-0086,ProGrip Sticky Notes Pack — Ergonomic & Multipurpose,2025-06-10,Defective,Refunded,27.71,USD
RET-000104,114-6076400-1006857,1,B0NQJ9A5QP,SKU-0081,WriteWell Paper Shredder — Ergonomic & Space Saving,2026-03-29,Inaccurate website description,Refunded,7.94,USD
RET-000105,114-1426112-4203835,1,B0M6YEW145,SKU-0083,WriteWell Standing Desk Converter — Durable & Multipurpose,2025-01-22,Defective,Refunded,9.99,USD
RET-000106,114-1894881-4659331,1,B05P1Y30A5,SKU-0091,PawPals Slow Feeder Bowl — Easy to Clean & Non-Toxic,2026-06-15,Wrong item sent,Refunded,11.7,USD
RET-000107,114-5755437-5686347,1,B0ANDXF98K,SKU-0004,AuroraTech WiFi Range Extender — Bluetooth 5.3 & Fast Charging,2026-05-11,Defective,Closed,109.5,USD
RET-000108,114-4329896-7109128,1,B0M2QT36J4,SKU-0010,AuroraTech Portable Charger — Fast Charging & HD 1080p,2026-03-18,Defective,Refunded,64.56,USD
RET-000109,114-6251431-6891283,4,B0NL5Q5CZM,SKU-0003,EverPeak USB-C Hub — Water Resistant & HD 1080p,2026-04-14,Damaged during shipping,Processing,73.81,USD
RET-000110,114-9951272-4069223,5,B08H6XVAML,SKU-0006,EverPeak Gaming Mouse — RGB Backlit & Compact Design,2026-01-07,Defective,Refunded,88.7,USD
RET-000111,114-3227060-7604903,2,B0R7U9K93R,SKU-0094,PawPals Pet Carrier — Non-Toxic & Durable,2025-12-10,No longer needed,Refunded,17.89,USD
RET-000112,114-9336274-5396971,2,B0ZWX7WPK9,SKU-0114,DriveGuard Seat Covers — Universal Fit & Heavy Duty,2025-10-18,No longer needed,Processing,23.86,USD
RET-000113,114-2318644-3660212,1,B03WTWXEDC,SKU-0072,CloudNest Magnetic Tiles — STEM Learning & Educational,2025-08-28,Arrived too late,Closed,0.0,USD
RET-000114,114-4402432-7455564,1,B0AZBDRH38,SKU-0086,ProGrip Sticky Notes Pack — Ergonomic & Multipurpose,2025-10-31,No longer needed,Refunded,40.15,USD
RET-000115,114-9717867-9828712,2,B0Q85PD1G6,SKU-0018,EverPeak Power Bank — 30H Battery Life & Noise Cancelling,2025-06-13,Not as described,Refunded,29.09,USD
RET-000116,114-9213416-8651209,3,B0279XVVC5,SKU-0014,BrightBeam Desk Lamp — RGB Backlit & Noise Cancelling,2025-12-17,Wrong item sent,Refunded,51.35,USD
RET-000117,114-1822483-7591382,1,B0NKTX370W,SKU-0051,PureGlo Shampoo & Conditioner — Gentle Formula & Ionic Technology,2026-01-17,No longer needed,Processing,6.19,USD
RET-000118,114-4565762-3182864,1,B0279XVVC5,SKU-0014,BrightBeam Desk Lamp — RGB Backlit & Noise Cancelling,2025-02-12,Not as described,Refunded,33.18,USD
RET-000119,114-9813864-9222291,1,B0AZBDRH38,SKU-0086,ProGrip Sticky Notes Pack — Ergonomic & Multipurpose,2025-08-15,Damaged during shipping,Refunded,27.71,USD
RET-000120,114-9834338-8318221,1,B0SH0V1DCR,SKU-0075,KiddoCraft Nerf-Style Blaster — Ages 3+ & Interactive,2025-03-10,Damaged during shipping,Processing,30.08,USD
RET-000121,114-5028339-3014052,5,B08RJE02WW,SKU-0016,AuroraTech Headphones — Bluetooth 5.3 & Water Resistant,2025-03-20,Not as described,Refunded,71.32,USD
RET-000122,114-4006157-1142126,1,B0FKKPVMZA,SKU-0065,TrailBlaze Foam Roller — Heavy Duty & Anti-Slip,2025-06-26,Better price available,Refunded,23.67,USD
RET-000123,114-3145079-4299107,1,B0M2UGJMKQ,SKU-0074,CloudNest RC Car — STEM Learning & Interactive,2026-05-27,No longer needed,Closed,0.0,USD
RET-000124,114-2832300-1546987,1,B02LTJA2NA,SKU-0078,CloudNest Dollhouse — Ages 3+ & Interactive,2025-12-25,No longer needed,Refunded,36.52,USD
RET-000125,114-3993629-8249594,5,B0M2QT36J4,SKU-0010,AuroraTech Portable Charger — Fast Charging & HD 1080p,2025-08-01,Not as described,Closed,0.0,USD
RET-000126,114-8014407-3606044,1,B05P1Y30A5,SKU-0091,PawPals Slow Feeder Bowl — Easy to Clean & Non-Toxic,2026-01-07,Defective,Refunded,10.4,USD
RET-000127,114-5622848-5228381,1,B0SQ7F7BFE,SKU-0057,TrailBlaze Dumbbell Set — Waterproof & Portable,2025-11-30,Not as described,Refunded,27.04,USD
RET-000128,114-5900791-2212136,2,B0HE56LV1G,SKU-0071,KiddoCraft Play Kitchen Set — Interactive & Ages 3+,2025-08-12,Wrong item sent,Refunded,22.81,USD
RET-000129,114-4180902-3495920,1,B0K12NKA8N,SKU-0013,AuroraTech Smart Watch — 30H Battery Life & Bluetooth 5.3,2025-12-23,Defective,Refunded,83.42,USD
RET-000130,114-1775541-5069646,2,B0S19ZGCXE,SKU-0116,EverPeak Screwdriver Set — Cordless & High Torque,2025-08-24,Wrong item sent,Refunded,46.08,USD
RET-000131,114-2403528-8609301,2,B0N90348CD,SKU-0088,ProGrip Desk Chair Cushion — Multipurpose & Ergonomic,2025-02-15,Better price available,Processing,15.4,USD
RET-000132,114-2210269-1684129,1,B0R5E97R3C,SKU-0001,AuroraTech Smart Plug — Noise Cancelling & HD 1080p,2026-06-19,Not as described,Refunded,61.07,USD
RET-000133,114-7956025-6100742,1,B0279XVVC5,SKU-0014,BrightBeam Desk Lamp — RGB Backlit & Noise Cancelling,2025-11-24,Wrong item sent,Refunded,51.35,USD
RET-000134,114-8598149-1182174,1,B0AZBDRH38,SKU-0086,ProGrip Sticky Notes Pack — Ergonomic & Multipurpose,2025-12-21,Defective,Refunded,27.71,USD
RET-000135,114-1628047-9606373,1,B0ANDXF98K,SKU-0004,AuroraTech WiFi Range Extender — Bluetooth 5.3 & Fast Charging,2026-06-25,Arrived too late,Refunded,84.2,USD
RET-000136,114-1744769-1395428,1,B03WTWXEDC,SKU-0072,CloudNest Magnetic Tiles — STEM Learning & Educational,2025-08-19,Missing parts or accessories,Refunded,19.25,USD
RET-000137,114-4209825-7219265,3,B0PXWSPMXC,SKU-0099,PawPals Cat Litter Mat — Durable & Easy to Clean,2025-09-06,No longer needed,Refunded,25.11,USD
RET-000138,114-7058540-8778136,1,B0M9299AJ4,SKU-0024,ZenLife Electric Kettle — Non-Stick Coating & Space Saving,2026-06-12,Inaccurate website description,Refunded,31.93,USD
RET-000139,114-5342322-7131060,1,B01U2VVLHF,SKU-0066,EverPeak Water Bottle — Portable & Waterproof,2025-01-29,No longer needed,Refunded,42.45,USD
RET-000140,114-1882583-5778457,3,B02X1DSSZM,SKU-0102,LittleNest Diaper Bag — Hypoallergenic & Easy to Clean,2025-04-25,No longer needed,Refunded,16.83,USD
RET-000141,114-9555363-4745893,4,B0A30AC946,SKU-0117,ProGrip Stud Finder — Ergonomic Grip & Rust Resistant,2025-01-30,Arrived too late,Processing,13.01,USD
RET-000142,114-3347697-2824269,1,B0279XVVC5,SKU-0014,BrightBeam Desk Lamp — RGB Backlit & Noise Cancelling,2025-12-15,Defective,Refunded,51.35,USD
RET-000143,114-3640810-2981040,1,B06AZNEH47,SKU-0008,BrightBeam Mechanical Keyboard — 30H Battery Life & Water Resistant,2025-04-08,Missing parts or accessories,Processing,75.67,USD
RET-000144,114-1295982-6899272,2,B0NL5Q5CZM,SKU-0003,EverPeak USB-C Hub — Water Resistant & HD 1080p,2025-09-25,Wrong item sent,Refunded,332.73,USD
RET-000145,114-6037384-4920511,1,B0JH68DJ8G,SKU-0032,UrbanKitchen Blender — Non-Stick Coating & Space Saving,2026-01-16,Arrived too late,Refunded,17.37,USD
RET-000146,114-7280832-9129618,3,B03WTWXEDC,SKU-0072,CloudNest Magnetic Tiles — STEM Learning & Educational,2025-03-21,Damaged during shipping,Refunded,19.25,USD
RET-000147,114-4962441-9580264,1,B0SH0V1DCR,SKU-0075,KiddoCraft Nerf-Style Blaster — Ages 3+ & Interactive,2026-07-07,No longer needed,Refunded,11.33,USD
RET-000148,114-9555363-4745893,3,B0MVKP1792,SKU-0002,BrightBeam HDMI Cable — Bluetooth 5.3 & HD 1080p,2025-01-21,No longer needed,Refunded,67.55,USD
RET-000149,114-2175979-8005284,2,B0FTQRA6A1,SKU-0109,DriveGuard Dash Cam — Heavy Duty & Easy Install,2025-10-26,Damaged during shipping,Refunded,61.86,USD
RET-000150,114-9499000-9775993,3,B0TURPLSHH,SKU-0100,PawPals Automatic Pet Feeder — Easy to Clean & Vet Recommended,2026-03-08,Arrived too late,Processing,35.71,USD
RET-000151,114-5952250-7067055,3,B0E32FCLF7,SKU-0055,TrailBlaze Camping Tent — Lightweight & Waterproof,2026-01-22,Defective,Refunded,135.04,USD
RET-000152,114-3229635-9274081,1,B0FPMT2SF9,SKU-0076,CloudNest Science Kit — Educational & Non-Toxic,2026-06-19,Damaged during shipping,Refunded,14.63,USD
RET-000153,114-6115213-3047234,1,B08RJE02WW,SKU-0016,AuroraTech Headphones — Bluetooth 5.3 & Water Resistant,2025-06-13,Inaccurate website description,Refunded,65.02,USD
RET-000154,114-1336009-4292858,4,B0FTQRA6A1,SKU-0109,DriveGuard Dash Cam — Heavy Duty & Easy Install,2026-03-03,Defective,Closed,30.93,USD
RET-000155,114-4734158-5791625,1,B0ZWX7WPK9,SKU-0114,DriveGuard Seat Covers — Universal Fit & Heavy Duty,2025-06-03,Not as described,Refunded,14.63,USD
RET-000156,114-9528030-5409809,1,B0U0VF1HMG,SKU-0040,ZenLife Nail Clipper Set — Gentle Formula & Cruelty-Free,2025-04-15,No longer needed,Refunded,22.72,USD
