order_id,order_item_id,asin,sku,product_title,quantity,item_price,item_promotion_discount,item_total,currency
114-1336009-4292858,2,B08H6XVAML,SKU-0006,EverPeak Gaming Mouse — RGB Backlit & Compact Design,3,81.06,0.0,243.18,USD
114-1336009-4292858,3,B0N90348CD,SKU-0088,ProGrip Desk Chair Cushion — Multipurpose & Ergonomic,1,19.37,0.0,19.37,USD
114-1336009-4292858,4,B0FTQRA6A1,SKU-0109,DriveGuard Dash Cam — Heavy Duty & Easy Install,1,30.93,0.0,30.93,USD
114-3121094-5034633,1,B0FPMT2SF9,SKU-0076,CloudNest Science Kit — Educational & Non-Toxic,1,14.63,0.0,14.63,USD
114-8175962-9229364,1,B03WTWXEDC,SKU-0072,CloudNest Magnetic Tiles — STEM Learning & Educational,1,19.25,0.0,19.25,USD
114-8175962-9229364,2,B0M6YEW145,SKU-0083,WriteWell Standing Desk Converter — Durable & Multipurpose,1,10.68,0.0,10.68,USD
114-1502647-1555428,1,B04Z7XKKST,SKU-0105,LittleNest Swaddle Blankets — BPA-Free & Safety Certified,1,54.16,0.0,54.16,USD
114-1502647-1555428,2,B05P1Y30A5,SKU-0091,PawPals Slow Feeder Bowl — Easy to Clean & Non-Toxic,1,11.7,0.0,11.7,USD
114-8364846-7233398,1,B0H9GJQWK8,SKU-0009,EverPeak Phone Case — Noise Cancelling & Bluetooth 5.3,1,23.15,0.0,23.15,USD
114-3672181-2426741,1,B0JH68DJ8G,SKU-0032,UrbanKitchen Blender — Non-Stick Coating & Space Saving,1,25.59,0.0,25.59,USD
114-7366035-8866406,1,B0R5E97R3C,SKU-0001,AuroraTech Smart Plug — Noise Cancelling & HD 1080p,1,89.73,0.0,89.73,USD
114-7366035-8866406,2,B0WCY6LU8P,SKU-0029,UrbanKitchen Wall Clock — Easy Clean & Dishwasher Safe,1,72.21,0.0,72.21,USD
114-4956097-7928527,1,B0TXQ65ZFV,SKU-0087,WriteWell Desk Organizer — Ergonomic & Multipurpose,1,21.66,0.0,21.66,USD
114-8881419-1889808,1,B0FKKPVMZA,SKU-0065,TrailBlaze Foam Roller — Heavy Duty & Anti-Slip,4,52.95,0.0,211.8,USD
114-8881419-1889808,2,B0FA6PK7S1,SKU-0043,PureGlo Body Scrub — Ionic Technology & Gentle Formula,1,40.0,0.0,40.0,USD
114-1788304-3053706,1,B0R7U9K93R,SKU-0094,PawPals Pet Carrier — Non-Toxic & Durable,3,21.64,0.0,64.92,USD
114-1788304-3053706,2,B0WCY6LU8P,SKU-0029,UrbanKitchen Wall Clock — Easy Clean & Dishwasher Safe,1,72.21,0.0,72.21,USD
114-1788304-3053706,3,B0PGGKXQ9K,SKU-0093,PawPals Pet Water Fountain — Easy to Clean & Vet Recommended,2,34.22,0.0,68.44,USD
114-7705999-5492929,1,B0TXQ65ZFV,SKU-0087,WriteWell Desk Organizer — Ergonomic & Multipurpose,1,21.66,0.0,21.66,USD
114-1347445-5072102,1,B08UGTRB3Y,SKU-0050,ZenLife Vitamin C Serum — Dermatologist Tested & Long Lasting,1,40.54,0.0,40.54,USD
114-1347445-5072102,2,B08H6XVAML,SKU-0006,EverPeak Gaming Mouse — RGB Backlit & Compact Design,1,88.7,0.0,88.7,USD
114-1347445-5072102,3,B0ZWX7WPK9,SKU-0114,DriveGuard Seat Covers — Universal Fit & Heavy Duty,3,19.42,0.0,58.26,USD
114-4130445-7765901,1,B0279XVVC5,SKU-0014,BrightBeam Desk Lamp — RGB Backlit & Noise Cancelling,2,51.35,0.0,102.7,USD
114-5875471-9606378,1,B0F635F86R,SKU-0097,PawPals Dog Chew Toys — Durable & Easy to Clean,1,21.36,0.0,21.36,USD
114-5875471-9606378,2,B0PGGKXQ9K,SKU-0093,PawPals Pet Water Fountain — Easy to Clean & Vet Recommended,1,34.22,0.0,34.22,USD
114-5875471-9606378,3,B0GJL7P973,SKU-0045,PureGlo Hair Straightener — Cruelty-Free & Ionic Technology,1,39.53,0.0,39.53,USD
114-5860295-1965082,1,B04ZD4ZURZ,SKU-0103,LittleNest Baby Monitor — Safety Certified & Hypoallergenic,2,31.9,0.0,63.8,USD
114-5860295-1965082,2,B0279XVVC5,SKU-0014,BrightBeam Desk Lamp — RGB Backlit & Noise Cancelling,1,51.35,0.0,51.35,USD
114-5860295-1965082,3,B0M2UGJMKQ,SKU-0074,CloudNest RC Car — STEM Learning & Interactive,1,12.84,0.0,12.84,USD
114-5860295-1965082,4,B0NQJ9A5QP,SKU-0081,WriteWell Paper Shredder — Ergonomic & Space Saving,1,11.7,0.0,11.7,USD
114-5044925-2533751,1,B0PF199V27,SKU-0037,Nordic Home Utensil Set — Non-Stick Coating & BPA-Free,1,62.82,0.0,62.82,USD
114-9470588-9332679,1,B0HE56LV1G,SKU-0071,KiddoCraft Play Kitchen Set — Interactive & Ages 3+,1,22.81,0.0,22.81,USD
114-1445758-1493220,1,B04ZD4ZURZ,SKU-0103,LittleNest Baby Monitor — Safety Certified & Hypoallergenic,1,31.9,3.79,28.11,USD
114-3008248-7971116,1,B085JJ3ZXF,SKU-0041,PureGlo Electric Toothbrush — Long Lasting & Dermatologist Tested,1,42.31,0.0,42.31,USD
114-3008248-7971116,2,B0QKGVBY0X,SKU-0108,LittleNest Baby Bottle Set — BPA-Free & Hypoallergenic,1,32.0,0.0,32.0,USD
114-4881400-7660590,1,B09D2WWZK5,SKU-0118,EverPeak Cordless Drill — Cordless & High Torque,1,18.98,0.0,18.98,USD
114-5028920-8571422,1,B0MVKP1792,SKU-0002,BrightBeam HDMI Cable — Bluetooth 5.3 & HD 1080p,1,63.85,0.0,63.85,USD
114-1356586-6662173,1,B0R7U9K93R,SKU-0094,PawPals Pet Carrier — Non-Toxic & Durable,1,21.64,0.0,21.64,USD
114-1356586-6662173,2,B03WTWXEDC,SKU-0072,CloudNest Magnetic Tiles — STEM Learning & Educational,2,19.25,0.0,38.5,USD
114-1356586-6662173,3,B055PLDLF8,SKU-0005,BrightBeam Webcam — Compact Design & 30H Battery Life,2,40.21,11.14,69.28,USD
114-1457506-7480772,1,B055PLDLF8,SKU-0005,BrightBeam Webcam — Compact Design & 30H Battery Life,1,40.21,0.0,40.21,USD
114-1457506-7480772,2,B0YXU5G7D1,SKU-0011,BrightBeam Bluetooth Speaker — Fast Charging & Noise Cancelling,1,107.91,0.0,107.91,USD
114-9141482-8121484,1,B03WTWXEDC,SKU-0072,CloudNest Magnetic Tiles — STEM Learning & Educational,1,19.25,0.0,19.25,USD
114-9855180-8506629,1,B0PGGKXQ9K,SKU-0093,PawPals Pet Water Fountain — Easy to Clean & Vet Recommended,1,34.22,0.0,34.22,USD
114-9855180-8506629,2,B0M2UGJMKQ,SKU-0074,CloudNest RC Car — STEM Learning & Interactive,1,11.77,0.0,11.77,USD
114-9855180-8506629,3,B043M1S1C4,SKU-0049,PureGlo Sunscreen Lotion — Ionic Technology & Dermatologist Tested,1,31.54,0.0,31.54,USD
114-2087833-5854480,1,B0A30AC946,SKU-0117,ProGrip Stud Finder — Ergonomic Grip & Rust Resistant,1,19.86,0.0,19.86,USD
114-2087833-5854480,2,B06HX4SP7L,SKU-0080,ProGrip Gel Pen Set — Ergonomic & Durable,1,12.33,0.0,12.33,USD
114-2087833-5854480,3,B0YXU5G7D1,SKU-0011,BrightBeam Bluetooth Speaker — Fast Charging & Noise Cancelling,1,107.91,0.0,107.91,USD
114-2087833-5854480,4,B00JXDXVG6,SKU-0095,PawPals Dog Treat Pouch — Easy to Clean & Non-Toxic,1,18.93,0.0,18.93,USD
114-2087833-5854480,5,B0GKG0B3EA,SKU-0090,PawPals Dog Leash — Easy to Clean & Vet Recommended,1,54.55,0.0,54.55,USD
114-2087833-5854480,6,B0M6YEW145,SKU-0083,WriteWell Standing Desk Converter — Durable & Multipurpose,1,9.99,0.0,9.99,USD
114-7444109-5164118,1,B0QKGVBY0X,SKU-0108,LittleNest Baby Bottle Set — BPA-Free & Hypoallergenic,1,32.0,0.0,32.0,USD
114-7444109-5164118,2,B02LTJA2NA,SKU-0078,CloudNest Dollhouse — Ages 3+ & Interactive,3,41.1,0.0,123.3,USD
114-7781554-1918930,1,B0P5FBKME8,SKU-0047,PureGlo Bath Bomb Set — Dermatologist Tested & Gentle Formula,1,31.59,0.0,31.59,USD
114-6192577-4827056,1,B0GJL7P973,SKU-0045,PureGlo Hair Straightener — Cruelty-Free & Ionic Technology,3,39.53,0.0,118.59,USD
114-6192577-4827056,2,B0SFWKQDD5,SKU-0022,Nordic Home Plant Pots — Non-Stick Coating & BPA-Free,2,27.96,0.0,55.92,USD
114-7836248-2976444,1,B02X1DSSZM,SKU-0102,LittleNest Diaper Bag — Hypoallergenic & Easy to Clean,1,13.44,0.0,13.44,USD
114-2568625-7416175,1,B0WR597BPU,SKU-0015,EverPeak Streaming Stick — Bluetooth 5.3 & HD 1080p,2,120.59,0.0,241.18,USD
114-2568625-7416175,2,B02LTJA2NA,SKU-0078,CloudNest Dollhouse — Ages 3+ & Interactive,1,41.1,0.0,41.1,USD
114-2568625-7416175,3,B02X1DSSZM,SKU-0102,LittleNest Diaper Bag — Hypoallergenic & Easy to Clean,1,13.44,0.0,13.44,USD
114-2568625-7416175,4,B055PLDLF8,SKU-0005,BrightBeam Webcam — Compact Design & 30H Battery Life,2,40.21,0.0,80.42,USD
114-6213397-9540127,1,B0YXU5G7D1,SKU-0011,BrightBeam Bluetooth Speaker — Fast Charging & Noise Cancelling,1,84.3,0.0,84.3,USD
114-6213397-9540127,2,B00JXDXVG6,SKU-0095,PawPals Dog Treat Pouch — Easy to Clean & Non-Toxic,1,18.93,0.0,18.93,USD
114-6213397-9540127,3,B0R5E97R3C,SKU-0001,AuroraTech Smart Plug — Noise Cancelling & HD 1080p,1,89.73,0.0,89.73,USD
114-4243587-6617699,1,B0NL5Q5CZM,SKU-0003,EverPeak USB-C Hub — Water Resistant & HD 1080p,1,110.91,0.0,110.91,USD
114-7841598-3972741,1,B0M6YEW145,SKU-0083,WriteWell Standing Desk Converter — Durable & Multipurpose,1,9.99,0.0,9.99,USD
114-7841598-3972741,2,B0NL5Q5CZM,SKU-0003,EverPeak USB-C Hub — Water Resistant & HD 1080p,1,110.91,0.0,110.91,USD
114-8533390-3344288,1,B088K2QTZJ,SKU-0007,AuroraTech Car Mount — Bluetooth 5.3 & RGB Backlit,1,52.27,0.0,52.27,USD
114-7450389-1800191,1,B0MVKP1792,SKU-0002,BrightBeam HDMI Cable — Bluetooth 5.3 & HD 1080p,1,63.85,0.0,63.85,USD
114-7450389-1800191,2,B02T104M25,SKU-0111,DriveGuard Jump Starter — Long Cord & Universal Fit,3,55.67,0.0,167.01,USD
114-7004212-3873072,1,B02T104M25,SKU-0111,DriveGuard Jump Starter — Long Cord & Universal Fit,1,55.67,0.0,55.67,USD
114-1007792-7372482,1,B0TXQ65ZFV,SKU-0087,WriteWell Desk Organizer — Ergonomic & Multipurpose,1,21.66,0.0,21.66,USD
114-2247151-5978272,1,B0E48MCY15,SKU-0079,WriteWell Label Maker — Durable & Multipurpose,1,49.25,0.0,49.25,USD
114-1887516-4967937,1,B0SH0V1DCR,SKU-0075,KiddoCraft Nerf-Style Blaster — Ages 3+ & Interactive,2,17.07,0.0,34.14,USD
114-2261287-1235107,1,B04ZD4ZURZ,SKU-0103,LittleNest Baby Monitor — Safety Certified & Hypoallergenic,1,31.9,0.0,31.9,USD
114-2261287-1235107,2,B08H6XVAML,SKU-0006,EverPeak Gaming Mouse — RGB Backlit & Compact Design,3,88.7,0.0,266.1,USD
114-8347263-4923595,1,B0SFWKQDD5,SKU-0022,Nordic Home Plant Pots — Non-Stick Coating & BPA-Free,1,27.96,0.0,27.96,USD
114-8347263-4923595,2,B08H6XVAML,SKU-0006,EverPeak Gaming Mouse — RGB Backlit & Compact Design,1,81.06,0.0,81.06,USD
114-8347263-4923595,3,B03WTWXEDC,SKU-0072,CloudNest Magnetic Tiles — STEM Learning & Educational,1,19.25,0.0,19.25,USD
114-8192211-7757550,1,B0P5FBKME8,SKU-0047,PureGlo Bath Bomb Set — Dermatologist Tested & Gentle Formula,1,29.77,0.0,29.77,USD
114-8192211-7757550,2,B02T104M25,SKU-0111,DriveGuard Jump Starter — Long Cord & Universal Fit,1,55.67,0.0,55.67,USD
114-2415200-3867901,1,B0A30AC946,SKU-0117,ProGrip Stud Finder — Ergonomic Grip & Rust Resistant,1,19.86,0.0,19.86,USD
114-5444428-7793676,1,B0YXU5G7D1,SKU-0011,BrightBeam Bluetooth Speaker — Fast Charging & Noise Cancelling,1,107.91,0.0,107.91,USD
114-5444428-7793676,2,B0KKUPJDRS,SKU-0115,ProGrip LED Work Light — Cordless & High Torque,3,57.78,0.0,173.34,USD
114-4946323-8213549,1,B0ZWX7WPK9,SKU-0114,DriveGuard Seat Covers — Universal Fit & Heavy Duty,2,20.72,0.0,41.44,USD
114-4946323-8213549,2,B088K2QTZJ,SKU-0007,AuroraTech Car Mount — Bluetooth 5.3 & RGB Backlit,3,52.27,0.0,156.81,USD
114-4946323-8213549,3,B0YBRGQRFQ,SKU-0110,DriveGuard Car Vacuum — Long Cord & Easy Install,1,18.37,0.0,18.37,USD
114-5896725-3180839,1,B09V1N9TED,SKU-0077,KiddoCraft Puzzle Set — Non-Toxic & STEM Learning,1,29.15,0.0,29.15,USD
114-5896725-3180839,2,B0ANDXF98K,SKU-0004,AuroraTech WiFi Range Extender — Bluetooth 5.3 & Fast Charging,1,109.5,0.0,109.5,USD
114-4003831-4947358,1,B0AZBDRH38,SKU-0086,ProGrip Sticky Notes Pack — Ergonomic & Multipurpose,1,27.71,0.0,27.71,USD
114-4003831-4947358,2,B0MVKP1792,SKU-0002,BrightBeam HDMI Cable — Bluetooth 5.3 & HD 1080p,1,63.85,0.0,63.85,USD
114-9262295-7450410,1,B0HE56LV1G,SKU-0071,KiddoCraft Play Kitchen Set — Interactive & Ages 3+,2,22.81,0.0,45.62,USD
114-1640552-9927838,1,B0M6YEW145,SKU-0083,WriteWell Standing Desk Converter — Durable & Multipurpose,1,9.99,0.77,9.22,USD
114-6567970-8661071,1,B0FPMT2SF9,SKU-0076,CloudNest Science Kit — Educational & Non-Toxic,1,12.73,0.0,12.73,USD
114-7611347-4290133,1,B0UFTNZLYW,SKU-0023,UrbanKitchen Non-Stick Pan Set — Dishwasher Safe & Space Saving,3,27.5,0.0,82.5,USD
114-4264306-2729774,1,B0U0VF1HMG,SKU-0040,ZenLife Nail Clipper Set — Gentle Formula & Cruelty-Free,1,28.36,0.0,28.36,USD
114-4264306-2729774,2,B0M2UGJMKQ,SKU-0074,CloudNest RC Car — STEM Learning & Interactive,1,12.84,0.0,12.84,USD
114-4718705-4729079,1,B04Z7XKKST,SKU-0105,LittleNest Swaddle Blankets — BPA-Free & Safety Certified,2,54.16,0.0,108.32,USD
114-9706284-5409880,1,B01CQYLRS7,SKU-0070,CloudNest Art Supplies Kit — STEM Learning & Interactive,1,13.62,0.0,13.62,USD
114-9595138-2250064,1,B03WTWXEDC,SKU-0072,CloudNest Magnetic Tiles — STEM Learning & Educational,1,19.25,0.0,19.25,USD
114-6160344-2479872,1,B08H6XVAML,SKU-0006,EverPeak Gaming Mouse — RGB Backlit & Compact Design,1,88.7,0.0,88.7,USD
114-2633729-4995474,1,B0PAU2ZN1D,SKU-0113,DriveGuard Car Organizer — Heavy Duty & Easy Install,2,24.69,0.0,49.38,USD
114-2633729-4995474,2,B0H9GJQWK8,SKU-0009,EverPeak Phone Case — Noise Cancelling & Bluetooth 5.3,1,23.15,0.0,23.15,USD
114-3047050-9786580,1,B0DLXACSTN,SKU-0068,CloudNest Plush Toy — Non-Toxic & Ages 3+,1,21.32,0.0,21.32,USD
114-3731154-3295958,1,B0ZWX7WPK9,SKU-0114,DriveGuard Seat Covers — Universal Fit & Heavy Duty,2,20.72,0.0,41.44,USD
114-3811691-3318931,1,B0TXQ65ZFV,SKU-0087,WriteWell Desk Organizer — Ergonomic & Multipurpose,1,21.66,0.0,21.66,USD
114-3811691-3318931,2,B0FPMT2SF9,SKU-0076,CloudNest Science Kit — Educational & Non-Toxic,3,12.73,0.0,38.19,USD
114-3162530-6109362,1,B0U0VF1HMG,SKU-0040,ZenLife Nail Clipper Set — Gentle Formula & Cruelty-Free,1,24.82,0.0,24.82,USD
114-4851602-4893816,1,B0A30AC946,SKU-0117,ProGrip Stud Finder — Ergonomic Grip & Rust Resistant,1,19.86,0.0,19.86,USD
114-4851602-4893816,2,B08H6XVAML,SKU-0006,EverPeak Gaming Mouse — RGB Backlit & Compact Design,1,88.7,0.0,88.7,USD
114-4851602-4893816,3,B0KMG3BBNV,SKU-0039,PureGlo Hair Oil — Ionic Technology & Cruelty-Free,1,38.85,0.0,38.85,USD
114-5770818-9720948,1,B01CQYLRS7,SKU-0070,CloudNest Art Supplies Kit — STEM Learning & Interactive,1,13.62,0.0,13.62,USD
114-5770818-9720948,2,B0HE56LV1G,SKU-0071,KiddoCraft Play Kitchen Set — Interactive & Ages 3+,3,22.81,0.0,68.43,USD
114-5770818-9720948,3,B01NLXW82L,SKU-0104,LittleNest Bassinet — Safety Certified & BPA-Free,1,24.09,2.09,22.0,USD
114-5770818-9720948,4,B0A30AC946,SKU-0117,ProGrip Stud Finder — Ergonomic Grip & Rust Resistant,1,19.86,0.0,19.86,USD
114-5770818-9720948,5,B08RJE02WW,SKU-0016,AuroraTech Headphones — Bluetooth 5.3 & Water Resistant,1,87.93,0.0,87.93,USD
114-5770818-9720948,6,B0SQ7F7BFE,SKU-0057,TrailBlaze Dumbbell Set — Waterproof & Portable,1,46.37,0.0,46.37,USD
114-3243546-4194779,1,B0M6YEW145,SKU-0083,WriteWell Standing Desk Converter — Durable & Multipurpose,1,10.68,0.0,10.68,USD
114-4421831-8770973,1,B0GKG0B3EA,SKU-0090,PawPals Dog Leash — Easy to Clean & Vet Recommended,1,54.55,0.0,54.55,USD
114-7093273-5456537,1,B02SLUXEFA,SKU-0038,UrbanKitchen Spice Rack — Easy Clean & Non-Stick Coating,1,44.0,0.0,44.0,USD
114-7093273-5456537,2,B0M6YEW145,SKU-0083,WriteWell Standing Desk Converter — Durable & Multipurpose,2,9.99,0.0,19.98,USD
114-7093273-5456537,3,B03WTWXEDC,SKU-0072,CloudNest Magnetic Tiles — STEM Learning & Educational,1,19.25,0.0,19.25,USD
114-7093273-5456537,4,B0F635F86R,SKU-0097,PawPals Dog Chew Toys — Durable & Easy to Clean,1,21.36,0.0,21.36,USD
114-4608251-4327277,1,B0E48MCY15,SKU-0079,WriteWell Label Maker — Durable & Multipurpose,2,49.25,6.72,91.78,USD
114-4608251-4327277,2,B0K12NKA8N,SKU-0013,AuroraTech Smart Watch — 30H Battery Life & Bluetooth 5.3,1,83.42,0.0,83.42,USD
114-8165549-6485389,1,B0FPMT2SF9,SKU-0076,CloudNest Science Kit — Educational & Non-Toxic,1,14.63,0.0,14.63,USD
114-4408903-6372126,1,B0AZBDRH38,SKU-0086,ProGrip Sticky Notes Pack — Ergonomic & Multipurpose,1,27.71,0.0,27.71,USD
114-6580507-5379489,1,B08H6XVAML,SKU-0006,EverPeak Gaming Mouse — RGB Backlit & Compact Design,1,81.06,0.0,81.06,USD
114-6580507-5379489,2,B0QKGVBY0X,SKU-0108,LittleNest Baby Bottle Set — BPA-Free & Hypoallergenic,1,32.0,3.43,28.57,USD
114-8860310-9841593,1,B06AZNEH47,SKU-0008,BrightBeam Mechanical Keyboard — 30H Battery Life & Water Resistant,1,75.67,0.0,75.67,USD
114-8860310-9841593,2,B0J9HPEX6X,SKU-0112,DriveGuard Tire Pressure Gauge — Long Cord & Heavy Duty,1,36.82,0.0,36.82,USD
114-1910845-4161506,1,B0NQJ9A5QP,SKU-0081,WriteWell Paper Shredder — Ergonomic & Space Saving,2,15.31,0.0,30.62,USD
114-1910845-4161506,2,B02T104M25,SKU-0111,DriveGuard Jump Starter — Long Cord & Universal Fit,1,55.67,0.0,55.67,USD
114-7244360-9629101,1,B02X1DSSZM,SKU-0102,LittleNest Diaper Bag — Hypoallergenic & Easy to Clean,1,13.44,1.99,11.45,USD
114-7244360-9629101,2,B0YBRGQRFQ,SKU-0110,DriveGuard Car Vacuum — Long Cord & Easy Install,1,18.37,0.0,18.37,USD
114-7244360-9629101,3,B0TURPLSHH,SKU-0100,PawPals Automatic Pet Feeder — Easy to Clean & Vet Recommended,1,43.13,0.0,43.13,USD
114-3734765-4524077,1,B0AZBDRH38,SKU-0086,ProGrip Sticky Notes Pack — Ergonomic & Multipurpose,2,29.73,0.0,59.46,USD
114-3734765-4524077,2,B0YXU5G7D1,SKU-0011,BrightBeam Bluetooth Speaker — Fast Charging & Noise Cancelling,1,107.91,0.0,107.91,USD
114-9579549-4235507,1,B0A30AC946,SKU-0117,ProGrip Stud Finder — Ergonomic Grip & Rust Resistant,1,19.86,0.0,19.86,USD
114-9579549-4235507,2,B055PLDLF8,SKU-0005,BrightBeam Webcam — Compact Design & 30H Battery Life,1,40.21,0.0,40.21,USD
114-3640810-2981040,1,B06AZNEH47,SKU-0008,BrightBeam Mechanical Keyboard — 30H Battery Life & Water Resistant,1,75.67,0.0,75.67,USD
114-3640810-2981040,2,B08H6XVAML,SKU-0006,EverPeak Gaming Mouse — RGB Backlit & Compact Design,1,88.7,0.0,88.7,USD
114-8490876-3281479,1,B02T104M25,SKU-0111,DriveGuard Jump Starter — Long Cord & Universal Fit,1,55.67,0.0,55.67,USD
114-8490876-3281479,2,B0279XVVC5,SKU-0014,BrightBeam Desk Lamp — RGB Backlit & Noise Cancelling,1,51.35,0.0,51.35,USD
114-8639392-6057746,1,B055PLDLF8,SKU-0005,BrightBeam Webcam — Compact Design & 30H Battery Life,1,40.21,0.0,40.21,USD
114-1146669-6480097,1,B0NQJ9A5QP,SKU-0081,WriteWell Paper Shredder — Ergonomic & Space Saving,3,13.62,0.0,40.86,USD
114-1146669-6480097,2,B0N90348CD,SKU-0088,ProGrip Desk Chair Cushion — Multipurpose & Ergonomic,2,19.37,4.81,33.93,USD
114-1146669-6480097,3,B0GJL7P973,SKU-0045,PureGlo Hair Straightener — Cruelty-Free & Ionic Technology,1,39.53,0.0,39.53,USD
114-9330861-1286698,1,B0279XVVC5,SKU-0014,BrightBeam Desk Lamp — RGB Backlit & Noise Cancelling,2,51.35,0.0,102.7,USD
114-1453692-5351292,1,B02T104M25,SKU-0111,DriveGuard Jump Starter — Long Cord & Universal Fit,1,55.67,0.0,55.67,USD
114-1453692-5351292,2,B08UGTRB3Y,SKU-0050,ZenLife Vitamin C Serum — Dermatologist Tested & Long Lasting,1,40.54,0.0,40.54,USD
114-1453692-5351292,3,B0GJL7P973,SKU-0045,PureGlo Hair Straightener — Cruelty-Free & Ionic Technology,3,39.53,0.0,118.59,USD
114-1453692-5351292,4,B0YXU5G7D1,SKU-0011,BrightBeam Bluetooth Speaker — Fast Charging & Noise Cancelling,2,107.91,15.72,200.1,USD
114-1453692-5351292,5,B0Q85PD1G6,SKU-0018,EverPeak Power Bank — 30H Battery Life & Noise Cancelling,1,17.84,0.0,17.84,USD
114-1453692-5351292,6,B0HE56LV1G,SKU-0071,KiddoCraft Play Kitchen Set — Interactive & Ages 3+,1,22.81,0.0,22.81,USD
114-1127128-4721805,1,B0R5E97R3C,SKU-0001,AuroraTech Smart Plug — Noise Cancelling & HD 1080p,1,89.73,0.0,89.73,USD
114-8099935-6171733,1,B085JJ3ZXF,SKU-0041,PureGlo Electric Toothbrush — Long Lasting & Dermatologist Tested,2,45.38,0.0,90.76,USD
114-8099935-6171733,2,B0JH68DJ8G,SKU-0032,UrbanKitchen Blender — Non-Stick Coating & Space Saving,1,25.59,0.0,25.59,USD
114-1996541-2988260,1,B0TURPLSHH,SKU-0100,PawPals Automatic Pet Feeder — Easy to Clean & Vet Recommended,1,43.13,0.0,43.13,USD
114-1996541-2988260,2,B09V1N9TED,SKU-0077,KiddoCraft Puzzle Set — Non-Toxic & STEM Learning,1,29.15,0.0,29.15,USD
114-1996541-2988260,3,B055PLDLF8,SKU-0005,BrightBeam Webcam — Compact Design & 30H Battery Life,1,40.21,0.0,40.21,USD
114-1511403-2814986,1,B0SQ7F7BFE,SKU-0057,TrailBlaze Dumbbell Set — Waterproof & Portable,1,46.37,0.0,46.37,USD
114-9903570-5622924,1,B0279XVVC5,SKU-0014,BrightBeam Desk Lamp — RGB Backlit & Noise Cancelling,1,51.35,0.0,51.35,USD
